test_name,mapped_to_group,tier,group_patients,group_measurements
"CALCIUM, TOTAL, S (TEST:FC82.7054)",calcium,1,5932,951289
CALCULATED LDL (TEST:BCCLDL),cholesterol_in_ldl,1,2117,57556
CALCULATED LDL (TEST:DCSQE-CLDL),cholesterol_in_ldl,1,2117,57556
CALCULATED LDL (TEST:WC954.1080),cholesterol_in_ldl,1,2117,57556
CALCULATED LDL (TEST:WCCLDL),cholesterol_in_ldl,1,2117,57556
CALCULATED LDL BLOOD (TEST:EL:5200003273),cholesterol_in_ldl,1,2117,57556
CALCULATED LDL BLOOD (TEST:EL:5290007152),cholesterol_in_ldl,1,2117,57556
CALCULATED MEAN BLOOD GLUCOSE (TEST:BH1-567),estimated_average_glucose,1,3494,34392
CAP FIO2 (TEST:MCSQ-FIO2C),fio2,3,1724,231333
CAPILLARY PCO2 (TEST:MC/C CO2),carbon_dioxide,1,5636,1337444
CAPILLARY PCO2 (TEST:MCSQ-CPCO2C),carbon_dioxide,1,5636,1337444
CAPILLARY PH (TEST:MC/C PH),ph,1,1807,153808
CAPILLARY PH (TEST:MCSQ-CPHC),ph,1,1807,153808
CAPILLARY PO2 (TEST:MC/CPO2),oxygen,1,1250,189167
CAPILLARY PO2 (TEST:MCSQ-CPO2C),oxygen,1,1250,189167
CARBON DIOXIDE (TEST:BCPLCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:DCSQE-CO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:DCSQE-PLCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:FC10.0120),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:FCCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:MC.CO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:MCCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:MCSQ-CO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:MCSQ-CO21),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:NCCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:NCSQE-CO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:NHCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:SC400.1700),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:SCCO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:VCSQE-CO2),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:WC326.2130),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:WC331.0400),carbon_dioxide,1,5636,1337444
CARBON DIOXIDE (TEST:WCCO2),carbon_dioxide,1,5636,1337444
CARBON MONOX (TEST:NCCO),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBON MONOXIDE % SAT (TEST:WC301.2800),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXY HGB BLOOD (TEST:EL:5290001012),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXYHEMOGLOBIN (TEST:BCCO),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXYHEMOGLOBIN (TEST:FCCO),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXYHEMOGLOBIN (TEST:MCCO),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXYHEMOGLOBIN (TEST:MCSQ-CO),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARBOXYHEMOGLOBIN BLOOD (TEST:EL:5200003480),carboxyhemoglobin/hemoglobin_total,1,174,2777
CARD R.R. (TEST:MCPOL201),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARD R.R. (TEST:MCSQ-CARD4),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:BCCRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:DCSQE-CRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:EL:5200003795),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:FCCRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:MCC RISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:MCSQ-CRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:MCSQ-CRISK1),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:NCSQE-CRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:SCCRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:VCSQE-CRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIAC RISK RATIO (TEST:WCCRISK),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CARDIO CRP (TEST:FC50.5055),c_reactive_protein,1,2605,53341
CARDIO CRP (TEST:NCCCRP),c_reactive_protein,1,2605,53341
CARDIOLIPIN AB IGG (TEST:EL:5290006093),cardiolipin_ab_igg,1,756,3266
CARDIOLIPIN AB IGM BLOOD (TEST:EL:5290006094),cardiolipin_ab_igm,1,756,3199
CARDIOLIPIN IGG (TEST:BC1-266),cardiolipin_ab_igg,1,756,3266
CARDIOLIPIN IGM (TEST:BC1-1240),cardiolipin_ab_igm,1,756,3199
CBC - HCT (TEST:MH110HCT),erythrocyte/blood,1,5919,924047
CBC - HGB (TEST:MH110HGB),hemoglobin,1,5920,1122284
CHLORIDE (STAT LAB) (TEST:MCSQ-XCL),chloride,1,5636,979567
CHLORIDE (TEST:BC1-10),chloride,1,5636,979567
CHLORIDE (TEST:BCPCL),chloride,1,5636,979567
CHLORIDE (TEST:DCSQE-CL),chloride,1,5636,979567
CHLORIDE (TEST:DCSQE-PCL),chloride_test_dcsqe-pcl,3,55,1412
CHLORIDE (TEST:DHSQE-CL),chloride,1,5636,979567
CHLORIDE (TEST:EL:5200003259),chloride,1,5636,979567
CHLORIDE (TEST:FC10.0115),chloride,1,5636,979567
CHLORIDE (TEST:FC500.1050),chloride,1,5636,979567
CHLORIDE (TEST:FC500.1100),chloride,1,5636,979567
CHLORIDE (TEST:FCCL),chloride,1,5636,979567
CHLORIDE (TEST:MC.CL),chloride,1,5636,979567
CHLORIDE (TEST:MC/CL),chloride,1,5636,979567
CHLORIDE (TEST:MCCL),chloride,1,5636,979567
CHLORIDE (TEST:MCPOL102),chloride,1,5636,979567
CHLORIDE (TEST:MCSQ-CL),chloride,1,5636,979567
CHLORIDE (TEST:MCSQ-CL1),chloride,1,5636,979567
CHLORIDE (TEST:MCSQ-CL4),chloride,1,5636,979567
CHLORIDE (TEST:NCCL),chloride,1,5636,979567
CHLORIDE (TEST:NCSQE-CL),chloride,1,5636,979567
CHLORIDE (TEST:NCSQE-CL7),chloride,1,5636,979567
CHLORIDE (TEST:NHCL),chloride,1,5636,979567
CHLORIDE (TEST:NHSQE-CL),chloride,1,5636,979567
CHLORIDE (TEST:SC400.1600),chloride,1,5636,979567
CHLORIDE (TEST:SCCL),chloride,1,5636,979567
CHLORIDE (TEST:VCSQE-CL),chloride,1,5636,979567
CHLORIDE (TEST:WC326.2120),chloride,1,5636,979567
CHLORIDE (TEST:WC331.0300),chloride,1,5636,979567
CHLORIDE (TEST:WCCL),chloride,1,5636,979567
"CHLORIDE , (TEST:NCRTCL)",chloride,1,5636,979567
CHLORIDE BLOOD (TEST:EL:5200003255),chloride,1,5636,979567
CHLORIDE BLOOD (TEST:EL:5200010446),chloride,1,5636,979567
"CHLORIDE, WHOLE BLD/PLASMA BLOOD (TEST:EL:5200003344)",chloride,1,5636,979567
"CHLORIDE, WHOLE BLOOD (TEST:BCCLWB)",chloride,1,5636,979567
CHOL (TEST:MCPOL122),cholesterol,1,3658,62445
CHOL (TEST:MCSQ-CHOL4),cholesterol,1,3658,62445
CHOL/HDL (TEST:NCCHHDL),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CHOL/HDL RATIO (TEST:WC326.2420),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CHOL/HDL RATIO (TEST:WC331.3200),cholesterol_total/cholesterol_in_hdl,1,3625,46873
CHOLESTEROL (TEST:BC1-52),cholesterol,1,3658,62445
CHOLESTEROL (TEST:BCCHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:BCLPEP1),cholesterol,1,3658,62445
CHOLESTEROL (TEST:DCSQE-CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:DHSQE-CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:EL:5200003152),cholesterol,1,3658,62445
CHOLESTEROL (TEST:FC10.0315),cholesterol,1,3658,62445
CHOLESTEROL (TEST:FC500.7200),cholesterol,1,3658,62445
CHOLESTEROL (TEST:FC500.7250),cholesterol,1,3658,62445
CHOLESTEROL (TEST:FCCHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:MC.CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:MCCHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:MCSQ-CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:MCSQ-CHOL1),cholesterol,1,3658,62445
CHOLESTEROL (TEST:NCCHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:NCSQE-CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:SC400.2400),cholesterol,1,3658,62445
CHOLESTEROL (TEST:SCCHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:VCSQE-CHOL),cholesterol,1,3658,62445
CHOLESTEROL (TEST:WC326.2380),cholesterol,1,3658,62445
CHOLESTEROL (TEST:WCCHOL),cholesterol,1,3658,62445
CHOLESTEROL SCREENING (TEST:FC10.1692),cholesterol,1,3658,62445
CHOLESTEROL SCREENING (TEST:FC500.7300),cholesterol,1,3658,62445
CHOLESTEROL SCREENING (TEST:FC500.7350),cholesterol,1,3658,62445
"CHOLESTEROL, HDL, S BLOOD (TEST:EL:5290007171)",cholesterol_in_hdl,1,3630,57143
"CHOLESTEROL, SERUM (TEST:WC331.2800)",cholesterol,1,3658,62445
"CHOLESTEROL, TOTAL, CDC, P (TEST:WC954.1065)",cholesterol,1,3658,62445
"CHOLESTEROL, TOTAL,S (TEST:EL:5290007300)",cholesterol,1,3658,62445
"CHOLESTEROL,LL (TEST:MCCHOLES)",cholesterol,1,3658,62445
CHOLR INTERPRETATION (TEST:WC331.3370),cholr_interpretation_test_wc331.3370,3,51,146
CHRMO FCTR X (TEST:BC1-1611),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X (TEST:BCFXCH1),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X (TEST:EL:5200003070),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X (TEST:FCFXCH1),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X (TEST:MHSQ-CFX),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X (TEST:NHCHRMF1),coagulation_factor_x_activity_actual/normal,1,70,926
CHROMOGENIC FACTOR X BLOOD (TEST:EL:5200006115),coagulation_factor_x_activity_actual/normal,1,70,926
CITRATE HGB ELECTRO (TEST:MHEP),hemoglobin_pattern,1,57,373
CITRATE HGB ELECTRO (TEST:MHSQ-HBEPTC),hemoglobin_pattern,1,57,373
CITRATED PLT COUNT (TEST:BH1-592),platelets,1,5919,919015
CL (ISTAT) (TEST:NCCLIS),chloride,1,5636,979567
CL-PL (TEST:BC1-352),chloride,1,5636,979567
CLDL (TEST:BC1-56),cholesterol_in_ldl,1,2117,57556
CO SAT (TEST:BC1-144),carboxyhemoglobin/hemoglobin_total,1,174,2777
CO-OX-%COHB (TEST:NCCOHB),carboxyhemoglobin/hemoglobin_total,1,174,2777
CO-OX-SITE (TEST:NCSITE),co-ox-site_test_ncsite,3,3,3
CO2 (STAT LAB) (TEST:MCSQ-XCO2),carbon_dioxide,1,5636,1337444
CO2 (TEST:DCSQE-PLCO2),carbon_dioxide,1,5636,1337444
CO2 (TEST:DHSQE-CO2),carbon_dioxide,1,5636,1337444
CO2 (TEST:MCPOL103),carbon_dioxide,1,5636,1337444
CO2 (TEST:MCSQ-CO24),carbon_dioxide,1,5636,1337444
CO2 (TEST:NHSQE-CO2),carbon_dioxide,1,5636,1337444
CO2 BLOOD (TEST:EL:5200003481),carbon_dioxide,1,5636,1337444
CO2 BLOOD (TEST:EL:5200010762),carbon_dioxide,1,5636,1337444
"COAG FACTOR 12 ASSAY, P (TEST:FC70.2500)",coagulation_factor_xii_activity_actual/normal,1,37,112
"COAG FACTOR 8 ACTIVITY ASSAY, (TEST:FC70.2400)",coagulation_factor_viii_activity_actual/normal,1,281,1296
"COAG FACTOR II ASSAY, P (TEST:FC70.2300)",prothrombin_activity_actual/normal,1,36,162
"COAG FACTOR IX ASSAY, P (TEST:FC70.1900)",coagulation_factor_ix_activity_actual/normal,1,80,257
"COAG FACTOR V ASSAY, P (TEST:FC70.1600)",coagulation_factor_v_activity_actual/normal,1,51,204
"COAG FACTOR VII ASSAY, P (TEST:EL:5200004930)",coagulation_factor_vii_activity_actual/normal,1,55,198
"COAG FACTOR VII ASSAY, P (TEST:FC70.1500)",coagulation_factor_vii_activity_actual/normal,1,55,198
"COAG FACTOR VII ASSAY, P (TEST:NCSQE-F71)",coagulation_factor_vii_activity_actual/normal,1,55,198
COAG FACTOR VIII ACTIVITY ASSA (TEST:FC73.2100),coagulation_factor_viii_activity_actual/normal,1,281,1296
"COAG FACTOR X ASSAY, P (TEST:FC70.1800)",coagulation_factor_x_activity_actual/normal,1,70,926
"COAG FACTOR XI ASSAY,  P (TEST:FC70.2000)",coagulation_factor_xi_activity_actual/normal,1,95,261
COHB (TEST:FC90.0095),carboxyhemoglobin/hemoglobin_total,1,174,2777
COLLAGEN (TEST:BH1-88),platelet_aggregation_collagen_induced,1,11,54
COLLAGEN 1 UG/ML (TEST:BH1-539),platelet_aggregation_collagen_induced^1_ug/ml,1,9,20
COLLAGEN 1 UG/ML CHRONO-LUME (TEST:BH1-540),collagen_5_ug/ml_chrono-lume_test_bh1-542,3,2,4
COLLAGEN 5 UG/ML (TEST:BH1-541),platelet_aggregation_collagen_induced^5_ug/ml,1,11,38
COLLAGEN 5 UG/ML CHRONO-LUME (TEST:BH1-542),collagen_5_ug/ml_chrono-lume_test_bh1-542,3,2,4
COMMENT (ACL) (TEST:MCBGCOM),service_comment_12,1,400,3795
COMMENT (ACL) (TEST:MCSQ-BGCOM),service_comment_12,1,400,3795
COMMENT (ACL) (TEST:NCSQE-BGCOM),service_comment_12,1,400,3795
COMMENT (ACL) (TEST:WCBGCOM),service_comment_12,1,400,3795
COMMENTS (BLOOD GAS) BLOOD (TEST:EL:5200001994),service_comment_12,1,400,3795
COMPLETE BLOOD COUNT (TEST:MH110),complete_blood_count_test_mh110,3,4,6
CORRECTED PO2 (TEST:NCPO2CT),oxygen^^adjusted_to_patient's_actual_temperature,1,15,67
CORRETED PCO2 (TEST:NCPCO2CT),carbon_dioxide^^adjusted_to_patient's_actual_temperature,1,15,67
CRE POC (TEST:BCCREPOC),creatinine,1,5640,989969
CRE POC (TEST:EL:5200003782),creatinine,1,5640,989969
CRE-POC (TEST:BC1-1449),creatinine,1,5640,989969
CREA (TEST:MCPOL106),creatinine,1,5640,989969
CREA (TEST:MCSQ-CREA4),creatinine,1,5640,989969
CREAT (ISTAT) (TEST:NCCENCRE),creatinine,1,5640,989969
CREAT (ISTAT) (TEST:NCCREACT),creatinine,1,5640,989969
CREAT (ISTAT) (TEST:NCCREMRI),creatinine,1,5640,989969
CREAT CLEAR (TEST:NCUCRCL),creatinine_renal_clearance,1,11,43
CREATININE (STAT LAB) (TEST:MCSQ-XCRE),creatinine,1,5640,989969
CREATININE (TEST:BC1-7),creatinine,1,5640,989969
CREATININE (TEST:BCPCRE),creatinine,1,5640,989969
CREATININE (TEST:DCSQE-CRE),creatinine,1,5640,989969
CREATININE (TEST:DCSQE-PCRE),creatinine,1,5640,989969
CREATININE (TEST:DHSQE-CRE),creatinine,1,5640,989969
CREATININE (TEST:EL:5200003774),creatinine,1,5640,989969
CREATININE (TEST:FC500.1600),creatinine,1,5640,989969
CREATININE (TEST:FC500.1650),creatinine,1,5640,989969
CREATININE (TEST:FC500.1700),creatinine,1,5640,989969
CREATININE (TEST:FCCRE),creatinine,1,5640,989969
CREATININE (TEST:MC.CRE),creatinine,1,5640,989969
CREATININE (TEST:MC/CREAT),creatinine,1,5640,989969
CREATININE (TEST:MCCRE),creatinine,1,5640,989969
CREATININE (TEST:MCSQ-CRE),creatinine,1,5640,989969
CREATININE (TEST:MCSQ-CRE1),creatinine,1,5640,989969
CREATININE (TEST:NCCREAT),creatinine,1,5640,989969
CREATININE (TEST:NCSQE-CRE),creatinine,1,5640,989969
CREATININE (TEST:NHCREAT),creatinine,1,5640,989969
CREATININE (TEST:NHSQE-CRE),creatinine,1,5640,989969
CREATININE (TEST:SC400.1100),creatinine,1,5640,989969
CREATININE (TEST:SCCRE),creatinine,1,5640,989969
CREATININE (TEST:VCSQE-CRE),creatinine,1,5640,989969
CREATININE (TEST:WC326.2175),creatinine,1,5640,989969
CREATININE (TEST:WC331.0800),creatinine,1,5640,989969
CREATININE (TEST:WCCRE),creatinine,1,5640,989969
CREATININE (TEST:WCPCRE),creatinine,1,5640,989969
CREATININE - WHOLE BLD BLOOD (TEST:EL:5290003225),creatinine,1,5640,989969
CREATININE BLOOD (TEST:EL:5200003771),creatinine,1,5640,989969
CREATININE BLOOD (TEST:EL:5200010498),creatinine,1,5640,989969
CREATININE CLEARANCE (TEST:DCSQE-DFCLA),creatinine_renal_clearance,1,11,43
CREATININE CLEARANCE (TEST:WC851.0425),creatinine_renal_clearance,1,11,43
CREATININE ISTAT (TEST:NCCREAIS),creatinine,1,5640,989969
"CREATININE, P/S (TEST:FC82.7058)",creatinine,1,5640,989969
"CREATININE,WHOLE BLD (TEST:BCCREWB)",creatinine,1,5640,989969
CREATININE-POC (TEST:DCSQE-CRE7),creatinine,1,5640,989969
CREATININE-POC (TEST:FCCRE7),creatinine,1,5640,989969
CREATININE-POC (TEST:MCSQ-CRE7),creatinine,1,5640,989969
CREATININE-POC (TEST:NCSQE-CRE7),creatinine,1,5640,989969
CREATININE-POC (TEST:VCSQE-CRE7),creatinine,1,5640,989969
CRP (TEST:FC500.9650),c_reactive_protein,1,2605,53341
CRP (TEST:FC500.9700),c_reactive_protein,1,2605,53341
CRP (TEST:NCCRPT),c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:BCHSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:DCSQE-HSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:EL:5200007116)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:FCHSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:MCSQ-HSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:NCSQE-HSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:SCHSCRP)",c_reactive_protein,1,2605,53341
"CRP, HIGH SENSITIVITY (TEST:WCHSCRP)",c_reactive_protein,1,2605,53341
CTN-I (TEST:BC1-938),troponin_i_cardiac,1,473,6772
CYSTATIN C EGFR (TEST:BCCTEGFR),glomerular_filtration_rate,1,5640,964584
CYSTATIN C EGFR (TEST:DCSQE-CTEGFR),glomerular_filtration_rate,1,5640,964584
D BILIRUBIN (TEST:FC500.3550),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
D BILIRUBIN (TEST:FC500.3600),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
D DIMER (MGH) (TEST:SH200.2001),fibrin_d-dimer,1,2783,22624
D DIMER (TEST:NHDDIM),fibrin_d-dimer,1,2783,22624
D DIMER (TEST:WH201.1000),fibrin_d-dimer,1,2783,22624
D DIMER (TEST:WHDD500),fibrin_d-dimer,1,2783,22624
D DIMER POC (TEST:NHDDMPOC),fibrin_d-dimer,1,2783,22624
D DIMER TITER (TEST:NHDDIMT),fibrin_d-dimer,1,2783,22624
D DIMER UNITS (TEST:NCDDU),fibrin_d-dimer,1,2783,22624
"D DIMER, QUANTITATIVE (TEST:MHSQ-DDIMQ)",fibrin_d-dimer,1,2783,22624
"D DIMER, QUANTITATIVE (TEST:NHSQE-DDIMQ)",fibrin_d-dimer,1,2783,22624
"D DIMER, QUANTITATIVE (TEST:SHDDIMQ)",fibrin_d-dimer,1,2783,22624
D-DIMER (ELISA) (TEST:BHDDTZ),fibrin_d-dimer,1,2783,22624
D-DIMER (ELISA) (TEST:DHSQE-DDTZ),fibrin_d-dimer,1,2783,22624
D-DIMER (ELISA) (TEST:FHDDTZ),fibrin_d-dimer,1,2783,22624
D-DIMER (ELISA) (TEST:MHSQ-DDTZ),fibrin_d-dimer,1,2783,22624
D-DIMER (ELISA) (TEST:VHSQE-DDTZ),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:DCSQE-DDITM1),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:MCSQ-DIMER),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:MHSQ-DDTZB),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:MHSQ-DDTZC),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:NCSQE-DIMER),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:WH201.1050),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:WH201.1054),fibrin_d-dimer,1,2783,22624
D-DIMER (TEST:WH201.1058),fibrin_d-dimer,1,2783,22624
D-DIMER (UG/ML) BLOOD (TEST:EL:5200016653),fibrin_d-dimer,1,2783,22624
D-DIMER BLOOD (TEST:EL:5200004219),fibrin_d-dimer,1,2783,22624
D-DIMER BLOOD (TEST:EL:5290002633),fibrin_d-dimer,1,2783,22624
D-DIMER BLOOD (TEST:EL:5290007135),fibrin_d-dimer,1,2783,22624
D-DIMER BLOOD (TEST:EL:5290007312),fibrin_d-dimer,1,2783,22624
D-DIMER ELISA (TEST:BH1-270),fibrin_d-dimer,1,2783,22624
D-DIMER QUALITATIVE (TEST:MHSQ-DDTZ6),fibrin_d-dimer,1,2783,22624
D-DIMER QUANTITATIVE (TEST:MHSQ-DDT6),fibrin_d-dimer,1,2783,22624
D-DIMER SCREEN (TEST:MHDDSCRN),fibrin_d-dimer,1,2783,22624
D-DIMER TEST (TEST:MHDDTEST),fibrin_d-dimer,1,2783,22624
D-DIMER TEST (TEST:MHSQ-DDT),fibrin_d-dimer,1,2783,22624
D-DIMER UNITS (DDU) (TEST:FCDDM),fibrin_d-dimer,1,2783,22624
D-DIMER UNITS (DDU) (TEST:NCSQE-DDM),fibrin_d-dimer,1,2783,22624
D-DIMER UNITS (DDU) (TEST:SCDDM),fibrin_d-dimer,1,2783,22624
"D-DIMER, P (TEST:FC82.9995)",fibrin_d-dimer,1,2783,22624
DBIL (NEO) (TEST:WC331.2600),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DDIMER (TEST:FC20.0456),fibrin_d-dimer,1,2783,22624
DDIMER (TEST:FH20.0455),fibrin_d-dimer,1,2783,22624
DDIMER (TEST:WHDDI),fibrin_d-dimer,1,2783,22624
DELIVERY DEVICE (TEST:SC301.0600),delivery_device_test_sc301.0600,3,5,21
DIAB CALC MEAN GLU (TEST:MCSQ-DCMBG),estimated_average_glucose,1,3494,34392
DIL RUSS VIP VENOM (TEST:MCSQ-DRVV),coagulation_dilute_russell_viper_venom_induced_actual/normal,1,40,139
DIL THROMBOPLASTIN (TEST:MH193),lupus_anticoagulant_neutralization_dilute_phospholipid,1,4,11
DIL TT BILVALIRUDIN BLOOD (TEST:EL:5200004572),dil_tt_bilvalirudin_blood_test_el_5200004572,3,17,108
DIL VIPER VENOM TEST (TEST:MHDVVT),coagulation_dilute_russell_viper_venom_induced,1,70,331
DILUTE TT ARGATROBAN (TEST:MHSQ-DTTARG),dilute_tt_argatroban_blood_test_el_5200004571,3,8,244
DILUTE TT ARGATROBAN BLOOD (TEST:EL:5200004571),dilute_tt_argatroban_blood_test_el_5200004571,3,8,244
DILUTE TT BIVALIRUDIN (TEST:MHSQ-DTTBIV),dilute_tt_argatroban_blood_test_el_5200004571,3,8,244
DILUTE TT DABIGATRAN (TEST:MHSQ-DTTDAB),dilute_tt_argatroban_blood_test_el_5200004571,3,8,244
DIR BILI (TEST:BC1-27),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILI (TEST:NCDBIL),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILI (TEST:NHDBIL),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:BCDBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:DCSQE-DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:FC10.0250),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:FCDBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MC.DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MC/BILID),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MCDBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MCSQ-DBI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MCSQ-DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:MCSQ-DBILI1),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:NCSQE-DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:NHSQE-DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:SC400.3250),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:SCDBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:VCSQE-DBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:WC326.2340),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:WC331.2300),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN (TEST:WCDBILI),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT BILIRUBIN BLOOD (TEST:EL:5200004178),bilirubin_glucuronidated+bilirubin_albumin_bound,1,5383,271083
DIRECT LDL (TEST:BCDRLDL),cholesterol_in_ldl,1,2117,57556
DIRECT LDL (TEST:DCSQE-DRLDL),cholesterol_in_ldl,1,2117,57556
DIRECT LDL (TEST:EL:5200004506),cholesterol_in_ldl,1,2117,57556
